epoch,mean_dice,step,train_loss_epoch,val_loss
0,,137,,0.07562278211116791
0,,137,0.17349113523960114,
1,,275,,0.04867400974035263
1,,275,0.059638168662786484,
2,,413,,0.04182153567671776
2,,413,0.045030929148197174,
3,,551,,0.05084294080734253
3,,551,0.039276137948036194,
4,,689,,0.03167359158396721
4,,689,0.033386338502168655,
5,,827,,0.03847914934158325
5,,827,0.029202258214354515,
6,,965,,0.031139736995100975
6,,965,0.025215577334165573,
7,,1103,,0.020251378417015076
7,,1103,0.021715248003602028,
8,,1241,,0.017838360741734505
8,,1241,0.01876501925289631,
9,,1379,,0.016485603526234627
9,,1379,0.01634778454899788,
10,,1517,,0.014857839792966843
10,,1517,0.013762494549155235,
11,,1655,,0.015173704363405704
11,,1655,0.012699013575911522,
12,,1793,,0.013598850928246975
12,,1793,0.012043369933962822,
13,,1931,,0.01227113138884306
13,,1931,0.01100737415254116,
14,,2069,,0.012049667537212372
14,,2069,0.010179095901548862,
15,,2207,,0.013247644528746605
15,,2207,0.00955334585160017,
16,,2345,,0.011489544995129108
16,,2345,0.009229921735823154,
17,,2483,,0.010430569760501385
17,,2483,0.009076543152332306,
18,,2621,,0.011415906250476837
18,,2621,0.009026728570461273,
19,,2759,,0.010617626830935478
19,,2759,0.00824300292879343,
20,0.8764135241508484,2760,,
